Код товара,Наименование товара,Псевдоним,Цена,Краткое описание,Полное описание,Title страницы,Усиленная дверная коробка B90,Изображение,Алюминиевый нащельник,Открывание,Цвет,Цвет иллюминатора,Наличник,Title Изображения,Ключевые слова,Свободный атрибут,Размер полотна,Мета-описание
,Добор белый прямой ПВХ 200 мм для дверей POSEIDON,,1695,Добор белый прямой ПВХ 200 мм для дверей POSEIDON,,Добор белый прямой ПВХ 200 мм для дверей POSEIDON,,__________________________________.png,,,,,,Добор белый прямой ПВХ 200 мм для дверей POSEIDON,Добор белый прямой ПВХ 200 мм для дверей POSEIDON,,,Добор белый прямой ПВХ 200 мм для дверей POSEIDON
,Добор белый прямой ПВХ 250 мм для дверей POSEIDON,,2118,Добор белый прямой ПВХ 250 мм для дверей POSEIDON,,Добор белый прямой ПВХ 250 мм для дверей POSEIDON,,__________________________________.png,,,,,,Добор белый прямой ПВХ 250 мм для дверей POSEIDON,Добор белый прямой ПВХ 250 мм для дверей POSEIDON,,,Добор белый прямой ПВХ 250 мм для дверей POSEIDON
,Добор серый прямой ПВХ 200 мм для дверей POSEIDON,,1810,Добор серый прямой ПВХ 200 мм для дверей POSEIDON,,Добор серый прямой ПВХ 200 мм для дверей POSEIDON,,__________________________________1.png,,,,,,Добор серый прямой ПВХ 200 мм для дверей POSEIDON,Добор серый прямой ПВХ 200 мм для дверей POSEIDON,,,Добор серый прямой ПВХ 200 мм для дверей POSEIDON
,Добор серый прямой ПВХ 250 мм для дверей POSEIDON,,2262,Добор серый прямой ПВХ 250 мм для дверей POSEIDON,,Добор серый прямой ПВХ 250 мм для дверей POSEIDON,,__________________________________1.png,,,,,,Добор серый прямой ПВХ 250 мм для дверей POSEIDON,Добор серый прямой ПВХ 250 мм для дверей POSEIDON,,,Добор серый прямой ПВХ 250 мм для дверей POSEIDON
,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON,,1810,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON,,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON,,________________________________________1.png,,,,,,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON,,,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON
,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON,,2262,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON,,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON,,________________________________________1.png,,,,,,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON,,,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON
1.1.3.Пороги,,,,,,,,full____________________1.png,,,,,,,,,,
,Порог ДПК для дверей POSEIDON белый,,756,Порог ДПК для дверей POSEIDON белый,,Порог ДПК для дверей POSEIDON белый,,full________________1.png,,,,,,Порог ДПК для дверей POSEIDON белый,Порог ДПК для дверей POSEIDON белый,,,Порог ДПК для дверей POSEIDON белый
,Порог ДПК для дверей POSEIDON серый,,800,Порог ДПК для дверей POSEIDON серый,,Порог ДПК для дверей POSEIDON серый,,____________________________________________________.png,,,,,,Порог ДПК для дверей POSEIDON серый,Порог ДПК для дверей POSEIDON серый,,,Порог ДПК для дверей POSEIDON серый
,Порог ДПК для дверей POSEIDON крем матовый,,800,Порог ДПК для дверей POSEIDON крем матовый,,Порог ДПК для дверей POSEIDON крем матовый,,__________________________________________________________.png,,,,,,Порог ДПК для дверей POSEIDON крем матовый,Порог ДПК для дверей POSEIDON крем матовый,,,Порог ДПК для дверей POSEIDON крем матовый
,Алюминиевый порог для дверей POSEIDON,,1350,,,,,full____________________1.png,,,,,,Алюминиевый порог для дверей POSEIDON,,,,
1.1.4.Дверные коробки,,,,,,,,full________________1.png,,,,,,,,,,
,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая,,3780,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая,,full________________.png,,,,,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая,,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая
,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая,,4536,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая,,full________________.png,,,,,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая,,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая
,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая,,3990,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая,,____________________________________________________1.png,,,,,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая,,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая
,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая,,4788,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая,,____________________________________________________2.png,,,,,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая,,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая
,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый,,3990,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый,,__________________________________________________________1.png,,,,,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый,,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый
,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый,,4788,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый,,__________________________________________________________2.png,,,,,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый,,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый
,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая,,9390,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая,,____________________________________________________________._.png,,,,,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая,,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая
,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая,,11268,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая,,____________________________________________________________._.png,,,,,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая,,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая
,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая,,11130,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая,,_________________________________________________.____________.png,,,,,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая,,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая
,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая,,13360,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая,,_________________________________________________.____________.png,,,,,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая,,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая
,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый,,11130,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый,,_________________________________________________.__________________.png,,,,,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый,,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый
,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON крем матовый,,13360,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON крем матовый,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON крем матовый,,_________________________________________________.__________________.png,,,,,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON крем матовый,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON крем матовый,,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON крем матовый
1.2.Композитные двери POSEIDON Эконом,,,,,,,,,,,,,,,,,,
1.2.1.Гладкие двери POSEIDON Эконом,,,,,,,,,,,,,,,,,,
1.2.2.Маятниковые двери POSEIDON Эконом,,,,,,,,,,,,,,,,,,
1.3.Композитные двери POSEIDON Стандарт,,,,,,,,,,,,,,,,,,
1.3.1.Гладкие двери POSEIDON Стандарт,,,,,,,,______________________________________________________________________________POSEIDON___________.png,,,,,,,,,,
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON белая,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-belaya,14590,Гладкая пластиковая одностворчатая дверь POSEIDON белая,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON белая
Производитель: Дверной Тон (Россия)
Цвет: Белый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><span style=""text-decoration: underline;""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON белая,,full_poseidon-4-new1.png|a192ad1e-9bf4-49dc-8b46-5ce726562f0b.jpg|PHOTO-2022-05-30-20-33-49.jpg|11.png,,,,,С двух сторон;+4850|С одной стороны;+2910|Без наличника,Гладкая пластиковая одностворчатая дверь POSEIDON белая|Гладкая пластиковая одностворчатая дверь POSEIDON белая|Мини образец двери POSEIDON|,"Гладкая пластиковая дверь POSEIDON белая, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,900х2000|800х2000|700х2000|600х2000,"Гладкая пластиковая дверь POSEIDON, белая  Купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в белом цвете."
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-belaya-1000-mm,19470,Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм
Производитель: Дверной Тон (Россия)
Цвет: Белый
Размеры (по полотну): 1000 x 2000 мм.
Размеры (по коробке): 1070 x 2050 мм.
Размеры (по проему): 1100 x 2100 мм.
Размеры (в упаковке): 1110 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
<span style=""text-decoration: underline;""><span style=""font-size: 10pt;"">Преимущества пластиковой двери POSEIDON:</span></span>

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><span style=""text-decoration: underline;""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм,,full_poseidon-4-new.png|a192ad1e-9bf4-49dc-8b46-5ce726562f0b1.jpg|IMG-20220802-WA00331.jpg|IMG-20220802-WA00301.jpg|IMG-20220802-WA00321.jpg|12.png,,,,,С двух сторон;+4850|С одной стороны;+2910|Без наличника,Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм|Гладкая пластиковая одностворчатая дверь POSEIDON белая|Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм|Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм|Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм|,"Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,1000х2000,"Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм, купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в белом цвете."
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON белая 1100 мм,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-belaya-1100-mm,19005,Гладкая пластиковая одностворчатая дверь POSEIDON белая 1100 мм,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON белая 1100 мм
Производитель: Дверной Тон (Россия)
Цвет: Белый
Размеры (по полотну): 1100 x 2000 мм.
Размеры (по коробке): 1170 x 2050 мм.
Размеры (по проему): 1200 x 2100 мм.
Размеры (в упаковке): 1210 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
<span style=""text-decoration: underline;""><span style=""font-size: 10pt;"">Преимущества пластиковой двери POSEIDON:</span></span>

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><span style=""text-decoration: underline;""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON белая 1100 мм,,full_poseidon-4-new2.png|135.png,,,,,Без наличника|С одной стороны;+2250|С двух сторон;+4500,Гладкая пластиковая одностворчатая дверь POSEIDON белая 1100 мм|,"Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,1100х2000,"Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм, купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000, 1100 мм в белом цвете."
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON белая с отбойной пластиной,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-belaya-s-otbojnoj-plastinoj,17760,Гладкая пластиковая одностворчатая дверь POSEIDON белая с отбойной пластиной,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON белая с отбойной пластиной
Производитель: Дверной Тон (Россия)
Цвет: Белый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
<span style=""text-decoration: underline;""><span style=""color: #000000; font-size: 10pt; text-decoration: underline;"">Преимущества пластиковой двери POSEIDON:</span>

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><span style=""text-decoration: underline;""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON белая с отбойной пластиной,,full_______________1_______________.png|15.png|IMG_8021.jpg,,,,,С двух сторон;+3750|С одной стороны;+2250|Без наличника,Гладкая пластиковая одностворчатая дверь POSEIDON белая с отбойной пластиной||Гладкая пластиковая одностворчатая дверь POSEIDON белая с отбойной пластиной,"Гладкая пластиковая дверь POSEIDON белая, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,900х2000|800х2000|700х2000|600х2000,"Гладкая пластиковая дверь POSEIDON, белая  Купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в белом цвете."
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON белая с вент решеткой,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-belaya-s-vent-reshetkoj,16430,Гладкая пластиковая одностворчатая дверь POSEIDON белая с вент решеткой,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON белая с вент решеткой
Производитель: Дверной Тон (Россия)
Цвет: Белый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
<span style=""text-decoration: underline;""><span style=""font-size: 10pt; color: #000000; text-decoration: underline;"">Преимущества пластиковой двери POSEIDON:</span>

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><span style=""text-decoration: underline;""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON белая с вент решеткой,,dver-poseidon-vent-white.png|16.png|IMG_5759.jpg,,,,,С двух сторон;+3750|С одной стороны;+2250|Без наличника,Гладкая пластиковая одностворчатая дверь POSEIDON белая с вент решеткой||Гладкая пластиковая одностворчатая дверь POSEIDON белая с вент решеткой,"Гладкая пластиковая одностворчатая дверь POSEIDON белая с вент решеткой, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,900х2000|800х2000|700х2000|600х2000,"Гладкая пластиковая одностворчатая дверь POSEIDON белая с вент решеткой, купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в белом цвете."
