Код товара,Наименование товара,Псевдоним,Цена,Краткое описание,Полное описание,Title страницы,Усиленная дверная коробка B90,Изображение,Алюминиевый нащельник,Открывание,Цвет,Цвет иллюминатора,Наличник,Title Изображения,Ключевые слова,Свободный атрибут,Размер полотна,Мета-описание
,Добор белый прямой ПВХ 200 мм для дверей POSEIDON,,1695,Добор белый прямой ПВХ 200 мм для дверей POSEIDON,,Добор белый прямой ПВХ 200 мм для дверей POSEIDON,,__________________________________.png,,,,,,Добор белый прямой ПВХ 200 мм для дверей POSEIDON,Добор белый прямой ПВХ 200 мм для дверей POSEIDON,,,Добор белый прямой ПВХ 200 мм для дверей POSEIDON
,Добор белый прямой ПВХ 250 мм для дверей POSEIDON,,2118,Добор белый прямой ПВХ 250 мм для дверей POSEIDON,,Добор белый прямой ПВХ 250 мм для дверей POSEIDON,,__________________________________.png,,,,,,Добор белый прямой ПВХ 250 мм для дверей POSEIDON,Добор белый прямой ПВХ 250 мм для дверей POSEIDON,,,Добор белый прямой ПВХ 250 мм для дверей POSEIDON
,Добор серый прямой ПВХ 200 мм для дверей POSEIDON,,1810,Добор серый прямой ПВХ 200 мм для дверей POSEIDON,,Добор серый прямой ПВХ 200 мм для дверей POSEIDON,,__________________________________1.png,,,,,,Добор серый прямой ПВХ 200 мм для дверей POSEIDON,Добор серый прямой ПВХ 200 мм для дверей POSEIDON,,,Добор серый прямой ПВХ 200 мм для дверей POSEIDON
,Добор серый прямой ПВХ 250 мм для дверей POSEIDON,,2262,Добор серый прямой ПВХ 250 мм для дверей POSEIDON,,Добор серый прямой ПВХ 250 мм для дверей POSEIDON,,__________________________________1.png,,,,,,Добор серый прямой ПВХ 250 мм для дверей POSEIDON,Добор серый прямой ПВХ 250 мм для дверей POSEIDON,,,Добор серый прямой ПВХ 250 мм для дверей POSEIDON
,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON,,1810,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON,,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON,,________________________________________1.png,,,,,,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON,,,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON
,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON,,2262,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON,,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON,,________________________________________1.png,,,,,,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON,,,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON
1.1.3.Пороги,,,,,,,,full____________________1.png,,,,,,,,,,
,Порог ДПК для дверей POSEIDON белый,,756,Порог ДПК для дверей POSEIDON белый,,Порог ДПК для дверей POSEIDON белый,,full________________1.png,,,,,,Порог ДПК для дверей POSEIDON белый,Порог ДПК для дверей POSEIDON белый,,,Порог ДПК для дверей POSEIDON белый
,Порог ДПК для дверей POSEIDON серый,,800,Порог ДПК для дверей POSEIDON серый,,Порог ДПК для дверей POSEIDON серый,,____________________________________________________.png,,,,,,Порог ДПК для дверей POSEIDON серый,Порог ДПК для дверей POSEIDON серый,,,Порог ДПК для дверей POSEIDON серый
,Порог ДПК для дверей POSEIDON крем матовый,,800,Порог ДПК для дверей POSEIDON крем матовый,,Порог ДПК для дверей POSEIDON крем матовый,,__________________________________________________________.png,,,,,,Порог ДПК для дверей POSEIDON крем матовый,Порог ДПК для дверей POSEIDON крем матовый,,,Порог ДПК для дверей POSEIDON крем матовый
,Алюминиевый порог для дверей POSEIDON,,1350,,,,,full____________________1.png,,,,,,Алюминиевый порог для дверей POSEIDON,,,,
1.1.4.Дверные коробки,,,,,,,,full________________1.png,,,,,,,,,,
,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая,,3780,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая,,full________________.png,,,,,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая,,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая
,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая,,4536,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая,,full________________.png,,,,,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая,,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON белая
,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая,,3990,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая,,____________________________________________________1.png,,,,,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая,,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON серая
,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая,,4788,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая,,____________________________________________________2.png,,,,,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая,,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON серая
,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый,,3990,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый,,__________________________________________________________1.png,,,,,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый,,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON крем матовый
,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый,,4788,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый,,__________________________________________________________2.png,,,,,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый,,,Дверная коробка ДПК 75х40 для двухстворчатых дверей POSEIDON крем матовый
,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая,,9390,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая,,____________________________________________________________._.png,,,,,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая,,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON белая
,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая,,11268,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая,,____________________________________________________________._.png,,,,,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая,,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON белая
,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая,,11130,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая,,_________________________________________________.____________.png,,,,,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая,,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON серая
,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая,,13360,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая,,_________________________________________________.____________.png,,,,,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая,,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON серая
,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый,,11130,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый,,_________________________________________________.__________________.png,,,,,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый,,,Дверная коробка сендвич 92х41 для одностворчатых маятниковых дверей POSEIDON крем матовый
,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON крем матовый,,13360,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON крем матовый,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON крем матовый,,_________________________________________________.__________________.png,,,,,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON крем матовый,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON крем матовый,,,Дверная коробка сендвич 92х41 для двухстворчатых маятниковых дверей POSEIDON крем матовый
1.2.Композитные двери POSEIDON Эконом,,,,,,,,,,,,,,,,,,
1.2.1.Гладкие двери POSEIDON Эконом,,,,,,,,,,,,,,,,,,
1.2.2.Маятниковые двери POSEIDON Эконом,,,,,,,,,,,,,,,,,,
1.3.Композитные двери POSEIDON Стандарт,,,,,,,,,,,,,,,,,,
1.3.1.Гладкие двери POSEIDON Стандарт,,,,,,,,______________________________________________________________________________POSEIDON___________.png,,,,,,,,,,
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON белая,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-belaya,14590,Гладкая пластиковая одностворчатая дверь POSEIDON белая,"<p><span style=""font-size: 10pt; color: #000000;""><strong>Наименование:</strong> Гладкая пластиковая одностворчатая дверь POSEIDON белая</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Производитель:</strong>&nbsp;Дверной Тон (Россия)</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Цвет:</strong>&nbsp;Белый</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Размеры (по полотну):</strong>&nbsp;600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Размеры (по коробке):</strong>&nbsp;670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Размеры (по проему):</strong>&nbsp;700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Размеры (в упаковке):</strong>&nbsp;710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм.&nbsp;</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Толщина полотна:&nbsp;</strong>40&nbsp;мм.</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Дверное полотно&nbsp;</strong>выполнено полностью из полимерных материалов.</span></p>
<ul>
<li><span style=""font-size: 10pt; color: #000000;""><strong>Заполнение полотна&nbsp;</strong>мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.</span></li>
<li><span style=""font-size: 10pt; color: #000000;""><strong>Каркас полотна </strong>ФСФ фанера.</span></li>
<li><span style=""font-size: 10pt; color: #000000;""><strong>Покрытие полотна</strong>&nbsp;лист жесткого ПВХ.&nbsp;</span></li>
</ul>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Дверная коробка</strong> выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.</span></p>
<p><span style=""text-decoration: underline; font-size: 10pt; color: #000000;""><strong>Преимущества пластиковой двери POSEIDON:</strong></span></p>
<ul>
<li><span style=""font-size: 10pt; color: #000000;"">100% влагостойкость</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Сертификация дверей согласно всем правилам и стандартам</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Высокая тепло и звукоизоляция</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Долговечность</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Экологичность</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Высокая устойчивость к обработке химическими средствами</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Простота установки</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Возможность изготовления нестандартных размеров</span></li>
</ul>
<p>&nbsp;</p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Дополнительные материалы:</strong></span></p>
<ul>
<li class=""item-1091""><span style=""text-decoration: underline;""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a></span></li>
</ul>
<p>&nbsp;</p>",Гладкая пластиковая одностворчатая дверь POSEIDON белая,,full_poseidon-4-new1.png|a192ad1e-9bf4-49dc-8b46-5ce726562f0b.jpg|PHOTO-2022-05-30-20-33-49.jpg|11.png,,,,,С двух сторон;+4850|С одной стороны;+2910|Без наличника,Гладкая пластиковая одностворчатая дверь POSEIDON белая|Гладкая пластиковая одностворчатая дверь POSEIDON белая|Мини образец двери POSEIDON|,"Гладкая пластиковая дверь POSEIDON белая, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,900х2000|800х2000|700х2000|600х2000,"Гладкая пластиковая дверь POSEIDON, белая  Купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в белом цвете."
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-belaya-1000-mm,19470,Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм,"<p><span style=""font-size: 10pt; color: #000000;""><strong>Наименование:</strong> Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Производитель:</strong>&nbsp;Дверной Тон (Россия)</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Цвет:</strong>&nbsp;Белый</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Размеры (по полотну):</strong>&nbsp;1000 x 2000 мм.</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Размеры (по коробке):</strong>&nbsp;1070 x 2050 мм.</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Размеры (по проему):</strong>&nbsp;1100 x 2100 мм.</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Размеры (в упаковке):&nbsp;</strong>1110 х 2120 мм.&nbsp;</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Толщина полотна:&nbsp;</strong>40&nbsp;мм.</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Дверное полотно&nbsp;</strong>выполнено полностью из полимерных материалов.</span></p>
<ul>
<li><span style=""font-size: 10pt; color: #000000;""><strong>Заполнение полотна&nbsp;</strong>мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.</span></li>
<li><span style=""font-size: 10pt; color: #000000;""><strong>Каркас полотна </strong>ФСФ фанера.</span></li>
<li><span style=""font-size: 10pt; color: #000000;""><strong>Покрытие полотна</strong>&nbsp;лист жесткого ПВХ.&nbsp;</span></li>
</ul>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Дверная коробка</strong> выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.</span></p>
<p><span style=""color: #000000;""><strong><span style=""text-decoration: underline;""><span style=""font-size: 10pt;"">Преимущества пластиковой двери POSEIDON:</span></span></strong></span></p>
<ul>
<li><span style=""font-size: 10pt; color: #000000;"">100% влагостойкость</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Сертификация дверей согласно всем правилам и стандартам</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Высокая тепло и звукоизоляция</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Долговечность</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Экологичность</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Высокая устойчивость к обработке химическими средствами</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Простота установки</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Возможность изготовления нестандартных размеров</span></li>
</ul>
<p>&nbsp;</p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Дополнительные материалы:</strong></span></p>
<ul>
<li class=""item-1091""><span style=""text-decoration: underline;""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a></span></li>
</ul>
<p>&nbsp;</p>",Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм,,full_poseidon-4-new.png|a192ad1e-9bf4-49dc-8b46-5ce726562f0b1.jpg|IMG-20220802-WA00331.jpg|IMG-20220802-WA00301.jpg|IMG-20220802-WA00321.jpg|12.png,,,,,С двух сторон;+4850|С одной стороны;+2910|Без наличника,Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм|Гладкая пластиковая одностворчатая дверь POSEIDON белая|Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм|Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм|Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм|,"Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,1000х2000,"Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм, купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в белом цвете."
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON белая 1100 мм,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-belaya-1100-mm,19005,Гладкая пластиковая одностворчатая дверь POSEIDON белая 1100 мм,"<p><span style=""font-size: 10pt; color: #000000;""><strong>Наименование:</strong> Гладкая пластиковая одностворчатая дверь POSEIDON белая 1100 мм</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Производитель:</strong> Дверной Тон (Россия)</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Цвет:</strong> Белый</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Размеры (по полотну):</strong> 1100 x 2000 мм.</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Размеры (по коробке):</strong> 1170 x 2050 мм.</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Размеры (по проему):</strong> 1200 x 2100 мм.</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Размеры (в упаковке): </strong>1210 х 2120 мм. </span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Толщина полотна: </strong>40 мм.</span></p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Дверное полотно </strong>выполнено полностью из полимерных материалов.</span></p>
<ul>
<li><span style=""font-size: 10pt; color: #000000;""><strong>Заполнение полотна </strong>мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.</span></li>
<li><span style=""font-size: 10pt; color: #000000;""><strong>Каркас полотна </strong>ФСФ фанера.</span></li>
<li><span style=""font-size: 10pt; color: #000000;""><strong>Покрытие полотна</strong> лист жесткого ПВХ. </span></li>
</ul>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Дверная коробка</strong> выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.</span></p>
<p><span style=""color: #000000;""><strong><span style=""text-decoration: underline;""><span style=""font-size: 10pt;"">Преимущества пластиковой двери POSEIDON:</span></span></strong></span></p>
<ul>
<li><span style=""font-size: 10pt; color: #000000;"">100% влагостойкость</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Сертификация дверей согласно всем правилам и стандартам</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Высокая тепло и звукоизоляция</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Долговечность</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Экологичность</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Высокая устойчивость к обработке химическими средствами</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Простота установки</span></li>
<li><span style=""font-size: 10pt; color: #000000;"">Возможность изготовления нестандартных размеров</span></li>
</ul>
<p> </p>
<p><span style=""font-size: 10pt; color: #000000;""><strong>Дополнительные материалы:</strong></span></p>
<ul>
<li class=""item-1091""><span style=""text-decoration: underline;""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a></span></li>
</ul>
<p> </p>",Гладкая пластиковая одностворчатая дверь POSEIDON белая 1100 мм,,full_poseidon-4-new2.png|135.png,,,,,Без наличника|С одной стороны;+2250|С двух сторон;+4500,Гладкая пластиковая одностворчатая дверь POSEIDON белая 1100 мм|,"Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,1100х2000,"Гладкая пластиковая одностворчатая дверь POSEIDON белая 1000 мм, купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000, 1100 мм в белом цвете."
